index,negativeword,rattcounter,kibucounter
1,2-faced,0,0
2,2-faces,0,0
3,abnormal,0,0
4,abolish,0,0
5,abominable,0,0
6,abominably,0,0
7,abominate,0,0
8,abomination,0,0
9,abort,0,0
10,aborted,0,0
11,aborts,0,0
12,abrade,0,0
13,abrasive,0,0
14,abrupt,0,0
15,abruptly,0,0
16,abscond,0,0
17,absence,0,0
18,absent-minded,0,0
19,absentee,0,0
20,absurd,0,0
21,absurdity,0,0
22,absurdly,0,0
23,absurdness,0,0
24,abuse,0,0
25,abused,0,0
26,abuses,0,0
27,abusive,0,0
28,abysmal,0,0
29,abysmally,0,0
30,abyss,0,0
31,accidental,0,0
32,accost,0,0
33,accursed,0,0
34,accusation,0,0
35,accusations,0,0
36,accuse,0,0
37,accuses,0,0
38,accusing,0,0
39,accusingly,0,0
40,acerbate,0,0
41,acerbic,0,0
42,acerbically,0,0
43,ache,0,0
44,ached,0,0
45,aches,0,0
46,achey,0,0
47,aching,0,0
48,acrid,0,0
49,acridly,0,0
50,acridness,0,0
51,acrimonious,0,0
52,acrimoniously,0,0
53,acrimony,0,0
54,adamant,0,0
55,adamantly,0,0
56,addict,0,0
57,addicted,0,0
58,addicting,0,0
59,addicts,0,0
60,admonish,0,0
61,admonisher,0,0
62,admonishingly,0,0
63,admonishment,0,0
64,admonition,0,0
65,adulterate,0,0
66,adulterated,0,0
67,adulteration,0,0
68,adulterier,0,0
69,adversarial,0,0
70,adversary,0,0
71,adverse,0,0
72,adversity,0,0
73,afflict,0,0
74,affliction,0,0
75,afflictive,0,0
76,affront,0,0
77,afraid,0,0
78,aggravate,0,0
79,aggravating,0,0
80,aggravation,0,0
81,aggression,0,0
82,aggressive,0,0
83,aggressiveness,0,0
84,aggressor,0,0
85,aggrieve,0,0
86,aggrieved,0,0
87,aggrivation,0,0
88,aghast,0,0
89,agonies,0,0
90,agonize,0,0
91,agonizing,0,0
92,agonizingly,0,0
93,agony,0,0
94,aground,0,0
95,ail,0,0
96,ailing,0,0
97,ailment,0,0
98,aimless,0,0
99,alarm,0,0
100,alarmed,0,0
101,alarming,0,0
102,alarmingly,0,0
103,alienate,0,0
104,alienated,0,0
105,alienation,0,0
106,allegation,0,0
107,allegations,0,0
108,allege,0,0
109,allergic,0,0
110,allergies,0,0
111,allergy,0,0
112,aloof,0,0
113,altercation,0,0
114,ambiguity,0,0
115,ambiguous,0,0
116,ambivalence,0,0
117,ambivalent,0,0
118,ambush,0,0
119,amiss,0,0
120,amputate,0,0
121,anarchism,0,0
122,anarchist,0,0
123,anarchistic,0,0
124,anarchy,0,0
125,anemic,0,0
126,anger,0,0
127,angrily,0,0
128,angriness,0,0
129,angry,0,0
130,anguish,0,0
131,animosity,0,0
