index,positiveword,counter
1,a+,0
2,abound,0
3,abounds,0
4,abundance,0
5,abundant,0
6,accessable,0
7,accessible,0
8,acclaim,0
9,acclaimed,0
10,acclamation,0
11,accolade,0
12,accolades,0
13,accommodative,0
14,accomodative,0
15,accomplish,0
16,accomplished,0
17,accomplishment,0
18,accomplishments,0
19,accurate,0
20,accurately,0
21,achievable,0
22,achievement,0
23,achievements,0
24,achievible,0
25,acumen,0
26,adaptable,0
27,adaptive,0
28,adequate,0
29,adjustable,0
30,admirable,0
31,admirably,0
32,admiration,0
33,admire,0
34,admirer,0
35,admiring,0
36,admiringly,0
37,adorable,0
38,adore,0
39,adored,0
40,adorer,0
41,adoring,0
42,adoringly,0
43,adroit,0
44,adroitly,0
45,adulate,0
46,adulation,0
47,adulatory,0
48,advanced,0
49,advantage,0
50,advantageous,0
51,advantageously,0
52,advantages,0
53,adventuresome,0
54,adventurous,0
55,advocate,0
56,advocated,0
57,advocates,0
58,affability,0
59,affable,0
60,affably,0
61,affectation,0
62,affection,0
63,affectionate,0
64,affinity,0
65,affirm,0
66,affirmation,0
67,affirmative,0
68,affluence,0
69,affluent,0
70,afford,0
71,affordable,0
72,affordably,0
73,afordable,0
74,agile,0
75,agilely,0
76,agility,0
77,agreeable,0
78,agreeableness,0
79,agreeably,0
80,all-around,0
81,alluring,0
82,alluringly,0
83,altruistic,0
84,altruistically,0
85,amaze,0
86,amazed,0
87,amazement,0
88,amazes,0
89,amazing,0
90,amazingly,0
91,ambitious,0
92,ambitiously,0
93,ameliorate,0
94,amenable,0
95,amenity,0
96,amiability,0
97,amiabily,0
98,amiable,0
99,amicability,0
100,amicable,0
101,amicably,0
102,amity,0
103,ample,0
104,amply,0
105,amuse,0
106,amusing,0
107,amusingly,0
108,angel,0
109,angelic,0
110,apotheosis,0
111,appeal,0
112,appealing,0
113,applaud,0
114,appreciable,0
115,appreciate,0
116,appreciated,0
117,appreciates,0
118,appreciative,0
119,appreciatively,0
120,appropriate,0
121,approval,0
122,approve,0
123,ardent,0
124,ardently,0
125,ardor,0
126,articulate,0
127,aspiration,0
128,aspirations,0
129,aspire,0
130,assurance,0
131,assurances,0
132,assure,0
133,assuredly,0
134,assuring,0
135,astonish,0
136,astonished,0
137,astonishing,0
138,astonishingly,0
139,astonishment,0
140,astound,0
141,astounded,0
142,astounding,0
143,astoundingly,0
144,astutely,0
145,attentive,0
146,attraction,0
147,attractive,0
148,attractively,0
149,attune,0
150,audible,0
151,audibly,0
152,auspicious,0
153,authentic,0
154,authoritative,0
155,autonomous,0
156,available,0
157,aver,0
158,avid,0
159,avidly,0
160,award,0
161,awarded,0
162,awards,0
163,awe,0
164,awed,0
165,awesome,0
166,awesomely,0
167,awesomeness,0
168,awestruck,0
169,awsome,0
170,backbone,0
171,balanced,0
172,bargain,0
173,beauteous,0
174,beautiful,0
175,beautifullly,0
176,beautifully,0
177,beautify,0
178,beauty,0
179,beckon,0
180,beckoned,0
181,beckoning,0
182,beckons,0
183,believable,0
184,believeable,0
185,beloved,0
186,benefactor,0
187,beneficent,0
188,beneficial,0
189,beneficially,0
190,beneficiary,0
191,benefit,0
192,benefits,0
193,benevolence,0
194,benevolent,0
195,benifits,0
196,best,0
197,best-known,0
198,best-performing,0
199,best-selling,0
200,better,0
201,better-known,0
202,better-than-expected,0
203,beutifully,0
204,blameless,0
205,bless,0
206,blessing,0
207,bliss,0
208,blissful,0
209,blissfully,0
210,blithe,0
211,blockbuster,0
212,bloom,0
213,blossom,0
214,bolster,0
215,bonny,0
216,bonus,0
217,bonuses,0
218,boom,0
219,booming,0
220,boost,0
221,boundless,0
222,bountiful,0
223,brainiest,0
224,brainy,0
225,brand-new,0
226,brave,0
227,bravery,0
228,bravo,0
229,breakthrough,0
230,breakthroughs,0
231,breathlessness,0
232,breathtaking,0
233,breathtakingly,0
234,breeze,0
235,bright,0
236,brighten,0
237,brighter,0
238,brightest,0
239,brilliance,0
240,brilliances,0
241,brilliant,0
242,brilliantly,0
243,brisk,0
244,brotherly,0
245,bullish,0
246,buoyant,0
247,cajole,0
248,calm,0
249,calming,0
250,calmness,0
251,capability,0
252,capable,0
253,capably,0
254,captivate,0
255,captivating,0
256,carefree,0
257,cashback,0
258,cashbacks,0
259,catchy,0
260,celebrate,0
261,celebrated,0
262,celebration,0
263,celebratory,0
264,champ,0
265,champion,0
266,charisma,0
267,charismatic,0
268,charitable,0
269,charm,0
270,charming,0
271,charmingly,0
272,chaste,0
273,cheaper,0
274,cheapest,0
275,cheer,0
276,cheerful,0
277,cheery,0
278,cherish,0
279,cherished,0
280,cherub,0
281,chic,0
